image,codec,level,bpp,ref_name,base_name,ours_name,num_vote_base,num_vote_ours,psnry_base,psnry_ours,vmaf_base,vmaf_ours,vifp_base,vifp_ours
kodim15,b2017,4,0.6332,kodim15.png,kodim15_b2017_base_4.png,kodim15_b2017_ours_4.png,24,23,36.1432,35.8211,86.9516,87.4755,0.9428,0.9433
kodim15,b2018,1,0.0333,kodim15.png,kodim15_b2018_base_1.png,kodim15_b2018_ours_1.png,3,44,27.8665,28.1005,36.2842,43.5848,0.4562,0.4846
kodim15,b2018,2,0.0524,kodim15.png,kodim15_b2018_base_2.png,kodim15_b2018_ours_2.png,3,44,28.6679,29.1011,50.0602,56.8221,0.5589,0.5840
kodim15,b2018,3,0.1582,kodim15.png,kodim15_b2018_base_3.png,kodim15_b2018_ours_3.png,4,43,31.7541,32.0662,71.7853,77.3511,0.7356,0.8082
kodim15,b2018,4,0.2625,kodim15.png,kodim15_b2018_base_4.png,kodim15_b2018_ours_4.png,20,27,34.3171,33.5881,82.0525,85.4815,0.8657,0.8897
kodim16,b2017,1,0.0444,kodim16.png,kodim16_b2017_base_1.png,kodim16_b2017_ours_1.png,10,37,28.0042,28.1973,18.5967,18.9174,0.3654,0.3905
kodim16,b2017,2,0.0597,kodim16.png,kodim16_b2017_base_2.png,kodim16_b2017_ours_2.png,11,36,28.7648,28.6041,29.1337,27.0690,0.4528,0.4587
kodim16,b2017,3,0.2573,kodim16.png,kodim16_b2017_base_3.png,kodim16_b2017_ours_3.png,13,34,32.0185,32.0714,62.1136,65.5433,0.7361,0.7694
kodim16,b2017,4,0.3678,kodim16.png,kodim16_b2017_base_4.png,kodim16_b2017_ours_4.png,13,34,33.4528,33.3023,72.6384,74.0527,0.8233,0.8459
kodim16,b2018,1,0.0257,kodim16.png,kodim16_b2018_base_1.png,kodim16_b2018_ours_1.png,17,30,27.9257,27.7440,22.4536,22.4184,0.3551,0.3502
kodim16,b2018,2,0.0445,kodim16.png,kodim16_b2018_base_2.png,kodim16_b2018_ours_2.png,11,36,28.5219,28.3940,36.8837,36.6132,0.4744,0.4785
kodim16,b2018,3,0.1755,kodim16.png,kodim16_b2018_base_3.png,kodim16_b2018_ours_3.png,19,28,32.4106,31.8833,67.8204,69.6520,0.7447,0.7649
kodim16,b2018,4,0.2253,kodim16.png,kodim16_b2018_base_4.png,kodim16_b2018_ours_4.png,10,37,33.1789,32.7182,70.9196,75.6446,0.7711,0.8180
kodim20,b2017,1,0.0379,kodim20.png,kodim20_b2017_base_1.png,kodim20_b2017_ours_1.png,13,34,26.1219,26.8732,35.5699,39.0918,0.4981,0.5120
kodim20,b2017,2,0.0460,kodim20.png,kodim20_b2017_base_2.png,kodim20_b2017_ours_2.png,16,31,27.0663,27.4905,42.4827,45.0675,0.5528,0.5567
kodim20,b2017,3,0.1741,kodim20.png,kodim20_b2017_base_3.png,kodim20_b2017_ours_3.png,16,31,31.0021,31.4141,71.5589,74.9504,0.7818,0.8131
kodim20,b2017,4,0.2198,kodim20.png,kodim20_b2017_base_4.png,kodim20_b2017_ours_4.png,28,19,32.3810,31.8106,76.5942,78.7844,0.8411,0.8597
kodim20,b2018,1,0.0350,kodim20.png,kodim20_b2018_base_1.png,kodim20_b2018_ours_1.png,2,45,26.4035,27.3108,35.5317,47.8132,0.4910,0.5418
